APMC,Commodity,Year,date,modal_price,Type,msprice,fluctuation,Relative_fluctuation
Dhule,Maize,2016,2016-03,1377,Kharif Crops,1365.0,220,17
Akole,Maize,2015,2015-10,1475,Kharif Crops,1325.0,220,15
Jalgaon Jamod-Aasalgaon,Sorgum(Jawar),2015,2015-02,1310,Kharif Crops,1590.0,220,17
Jalna,Maize,2016,2016-04,1364,Kharif Crops,1365.0,220,17
Chikhali,Sorgum(Jawar),2016,2016-02,1295,Kharif Crops,1650.0,220,17
Mauda,Paddyunhusked,2016,2016-07,2190,Kharif Crops,1470.0,220,11
Buldhana,Sorgum(Jawar),2016,2016-03,1250,Kharif Crops,1650.0,220,18
Rahuri-Vambori,Bajri,2014,2014-10,1493,Kharif Crops,1250.0,220,15
Alibag,Rice(Paddyhus),2015,2015-07,2223,Kharif Crops,1450.0,220,10
Shrirampur,Bajri,2015,2015-03,1366,Kharif Crops,1275.0,220,17
Lasalgaon,Maize,2015,2015-04,1433,Kharif Crops,1325.0,219,17
Buldhana,Sorgum(Jawar),2016,2016-10,1425,Kharif Crops,1650.0,219,16
Lasalgaon-Vinchur,Maize,2015,2015-04,1300,Kharif Crops,1325.0,219,18
Malkapur,Wheat(Husked),2015,2015-10,1598,Rabi Crops,1525.0,219,14
Ahmedpur,Sunflower,2014,2014-10,2675,Kharif Crops,3750.0,219,9
Latur,Bajri,2016,2016-07,1680,Kharif Crops,1330.0,219,14
Pusad,Wheat(Husked),2016,2016-01,1717,Rabi Crops,,219,13
Lasalgaon-Vinchur,Maize,2015,2015-10,1320,Kharif Crops,1325.0,219,17
Nandgaon,Bajri,2015,2015-10,1348,Kharif Crops,1275.0,219,17
Beed,Wheat(Husked),2016,2016-08,1931,Rabi Crops,,219,12
Rahuri-Vambori,Sorgum(Jawar),2015,2015-01,1685,Kharif Crops,1590.0,219,13
Vaijapur,Bajri,2016,2016-09,1698,Kharif Crops,1330.0,219,14
Sangali,Wheat(Unhusked),2016,2016-07,4045,Rabi Crops,,219,6
Gangapur,Bajri,2015,2015-04,1279,Kharif Crops,1275.0,219,17
Malegaon,Bajri,2015,2015-05,1340,Kharif Crops,1275.0,219,16
Nandgaon Khandeshwar,Wheat(Husked),2016,2016-05,1601,Rabi Crops,,219,14
Washim,Wheat(Husked),2014,2014-12,1566,Rabi Crops,1450.0,219,14
Samudrapur,Cotton,2016,2016-02,4469,Kharif Crops,3860.0,219,5
Mandhal,Paddyunhusked,2015,2015-11,2009,Kharif Crops,1410.0,219,12
Ahmedpur,Sunflower,2016,2016-01,3767,Kharif Crops,3850.0,219,6
Khamgaon,Wheat(Husked),2014,2014-10,1400,Rabi Crops,1450.0,219,16
Gevrai,Bajri,2014,2014-09,1303,Kharif Crops,1250.0,219,17
Vaijapur,Sorgum(Jawar),2016,2016-02,1566,Kharif Crops,1650.0,219,14
Kurdwadi,Maize,2016,2016-06,1839,Kharif Crops,1365.0,219,12
Washim,Sorgum(Jawar),2016,2016-02,1183,Kharif Crops,1650.0,219,19
Wardha,Wheat(Husked),2016,2016-05,1800,Rabi Crops,,219,13
Akola,Wheat(Husked),2016,2016-01,1626,Rabi Crops,,218,14
Dondaicha,Bajri,2015,2015-06,1173,Kharif Crops,1275.0,218,20
Sindi,Wheat(Husked),2015,2015-06,1331,Rabi Crops,1525.0,218,17
Vaijapur,Pigeon Pea (Tur),2016,2016-05,8175,Kharif Crops,4625.0,218,3
Amalner,Maize,2016,2016-11,1277,Kharif Crops,1365.0,218,19
Rahuri-Songaon,Wheat(Husked),2016,2016-06,1527,Rabi Crops,,218,15
Amarawati,Wheat(Husked),2015,2015-11,1759,Rabi Crops,1525.0,218,13
